Date,Platform,Product_Category,Comment_Text,Sentiment_Ground_Truth
2026-02-22,Instagram,Comforter Set,Delivery of my Comforter Set was delayed by 2 weeks. Unacceptable.,Negative
2026-02-22,Facebook,Supreme Foam,What is the warranty period for the Supreme Foam?,Neutral
2026-02-22,Website Review,Memory Foam Pillow,Just received my Memory Foam Pillow and it looks exactly like the pictures.,Positive
2026-02-22,Instagram,Memory Foam Pillow,Five stars for the Memory Foam Pillow!,Positive
2026-02-22,Website Review,Orthopedic Mattress,Is the Orthopedic Mattress washable?,Neutral
2026-02-22,Website Review,Supreme Foam,Soft yet firm. The Supreme Foam is perfect.,Positive
2026-02-22,Website Review,Orthopedic Mattress,Soft yet firm. The Orthopedic Mattress is perfect.,Positive
2026-02-22,Facebook,Sofa Cushion,"Don't buy the Sofa Cushion, it captures too much heat.",Negative
2026-02-22,Website Review,Sofa Cushion,Honestly the best investment for my back. The Sofa Cushion is amazing.,Positive
2026-02-22,Instagram,Supreme Foam,I was skeptical but the Supreme Foam is very comfortable.,Positive
2026-02-22,Facebook,Orthopedic Mattress,Called support 3 times about my Orthopedic Mattress but got no response.,Negative
2026-02-22,Instagram,Sofa Cushion,The Sofa Cushion smells of chemicals even after a week.,Negative
2026-02-22,Facebook,Comforter Set,Is the Comforter Set available in grey color?,Neutral
2026-02-22,Instagram,Comforter Set,How long does delivery take for the Comforter Set to Chittagong?,Neutral
2026-02-21,Facebook,Spring Mattress,Honestly the best investment for my back. The Spring Mattress is amazing.,Positive
2026-02-21,Instagram,Orthopedic Mattress,Delivery was super fast and the Orthopedic Mattress quality is top notch.,Positive
2026-02-21,Facebook,Spring Mattress,I was skeptical but the Spring Mattress is very comfortable.,Positive
2026-02-21,Website Review,Spring Mattress,The Spring Mattress smells of chemicals even after a week.,Negative
2026-02-21,Website Review,Spring Mattress,Customer service didn't reply when I asked about my Spring Mattress warranty.,Negative
2026-02-21,Website Review,Orthopedic Mattress,Is the Orthopedic Mattress available in King Size?,Neutral
2026-02-21,Instagram,Supreme Foam,"Regret buying the Supreme Foam, the stitching is coming off.",Negative
2026-02-21,Website Review,Memory Foam Pillow,"Don't buy the Memory Foam Pillow, it captures too much heat.",Negative
2026-02-21,Instagram,Comforter Set,"Highly recommend the Comforter Set, worth every taka.",Positive
2026-02-20,Website Review,Supreme Foam,My parents love the Supreme Foam I bought them.,Positive
2026-02-20,Instagram,Supreme Foam,"Not happy with the foam density of the Supreme Foam, feels cheap.",Negative
2026-02-20,Website Review,Comforter Set,Called support 3 times about my Comforter Set but got no response.,Negative
2026-02-20,Facebook,Spring Mattress,Honestly the best investment for my back. The Spring Mattress is amazing.,Positive
2026-02-20,Facebook,Sofa Cushion,Honestly the best investment for my back. The Sofa Cushion is amazing.,Positive
2026-02-20,Website Review,Comforter Set,Soft yet firm. The Comforter Set is perfect.,Positive
2026-02-20,Facebook,Supreme Foam,Finally getting good sleep thanks to Swan's Supreme Foam.,Positive
2026-02-20,Instagram,Orthopedic Mattress,Is the Orthopedic Mattress available in grey color?,Neutral
2026-02-20,Instagram,Spring Mattress,I am facing specific foam density issues with the Spring Mattress. It sinks too much.,Negative
2026-02-20,Website Review,Comforter Set,"Regret buying the Comforter Set, the stitching is coming off.",Negative
2026-02-20,Website Review,Memory Foam Pillow,The Memory Foam Pillow smells of chemicals even after a week.,Negative
2026-02-19,Website Review,Spring Mattress,I was skeptical but the Spring Mattress is very comfortable.,Positive
2026-02-19,Instagram,Orthopedic Mattress,Delivery was super fast and the Orthopedic Mattress quality is top notch.,Positive
2026-02-19,Instagram,Supreme Foam,Soft yet firm. The Supreme Foam is perfect.,Positive
2026-02-19,Website Review,Orthopedic Mattress,How long does delivery take for the Orthopedic Mattress to Chittagong?,Neutral
2026-02-19,Website Review,Sofa Cushion,Customer service didn't reply when I asked about my Sofa Cushion warranty.,Negative
2026-02-19,Website Review,Supreme Foam,"The Supreme Foam is too hard, caused me back pain.",Negative
2026-02-19,Website Review,Sofa Cushion,"Comparing this Sofa Cushion with the other model, which is better?",Neutral
2026-02-19,Facebook,Sofa Cushion,Soft yet firm. The Sofa Cushion is perfect.,Positive
2026-02-19,Facebook,Orthopedic Mattress,Delivery was super fast and the Orthopedic Mattress quality is top notch.,Positive
2026-02-19,Instagram,Supreme Foam,I am facing specific foam density issues with the Supreme Foam. It sinks too much.,Negative
2026-02-19,Facebook,Orthopedic Mattress,Great service and the Orthopedic Mattress feels premium.,Positive
2026-02-19,Instagram,Memory Foam Pillow,Customer service didn't reply when I asked about my Memory Foam Pillow warranty.,Negative
2026-02-18,Instagram,Comforter Set,The Comforter Set smells of chemicals even after a week.,Negative
2026-02-18,Facebook,Memory Foam Pillow,The Memory Foam Pillow smells of chemicals even after a week.,Negative
2026-02-18,Instagram,Orthopedic Mattress,My Orthopedic Mattress arrived damaged and return process is a nightmare.,Negative
2026-02-18,Instagram,Orthopedic Mattress,Finally getting good sleep thanks to Swan's Orthopedic Mattress.,Positive
2026-02-18,Website Review,Memory Foam Pillow,Delivery was super fast and the Memory Foam Pillow quality is top notch.,Positive
2026-02-18,Website Review,Comforter Set,"Don't buy the Comforter Set, it captures too much heat.",Negative
2026-02-18,Website Review,Sofa Cushion,I was skeptical but the Sofa Cushion is very comfortable.,Positive
2026-02-18,Facebook,Supreme Foam,Does the Supreme Foam come with a cover?,Neutral
2026-02-18,Instagram,Comforter Set,Does the Comforter Set come with a cover?,Neutral
2026-02-18,Website Review,Memory Foam Pillow,My parents love the Memory Foam Pillow I bought them.,Positive
2026-02-17,Instagram,Supreme Foam,I was skeptical but the Supreme Foam is very comfortable.,Positive
2026-02-17,Instagram,Memory Foam Pillow,Honestly the best investment for my back. The Memory Foam Pillow is amazing.,Positive
2026-02-17,Facebook,Comforter Set,Delivery of my Comforter Set was delayed by 2 weeks. Unacceptable.,Negative
2026-02-17,Instagram,Orthopedic Mattress,Great service and the Orthopedic Mattress feels premium.,Positive
2026-02-17,Instagram,Sofa Cushion,"Highly recommend the Sofa Cushion, worth every taka.",Positive
2026-02-17,Instagram,Orthopedic Mattress,Does the Orthopedic Mattress come with a cover?,Neutral
2026-02-17,Facebook,Sofa Cushion,Just received my Sofa Cushion and it looks exactly like the pictures.,Positive
2026-02-17,Instagram,Sofa Cushion,What is the warranty period for the Sofa Cushion?,Neutral
2026-02-17,Website Review,Spring Mattress,Great service and the Spring Mattress feels premium.,Positive
2026-02-17,Website Review,Comforter Set,Can I pay via EMI for the Comforter Set?,Neutral
2026-02-17,Website Review,Orthopedic Mattress,Just received my Orthopedic Mattress and it looks exactly like the pictures.,Positive
2026-02-17,Website Review,Spring Mattress,Delivery was super fast and the Spring Mattress quality is top notch.,Positive
2026-02-17,Facebook,Memory Foam Pillow,I am facing specific foam density issues with the Memory Foam Pillow. It sinks too much.,Negative
2026-02-17,Website Review,Supreme Foam,I was skeptical but the Supreme Foam is very comfortable.,Positive
2026-02-17,Website Review,Orthopedic Mattress,"Comparing this Orthopedic Mattress with the other model, which is better?",Neutral
2026-02-16,Facebook,Supreme Foam,Delivery was super fast and the Supreme Foam quality is top notch.,Positive
2026-02-16,Facebook,Sofa Cushion,"The Sofa Cushion is too hard, caused me back pain.",Negative
2026-02-16,Instagram,Orthopedic Mattress,The Orthopedic Mattress smells of chemicals even after a week.,Negative
2026-02-16,Facebook,Orthopedic Mattress,Five stars for the Orthopedic Mattress!,Positive
2026-02-16,Website Review,Supreme Foam,"Regret buying the Supreme Foam, the stitching is coming off.",Negative
2026-02-16,Website Review,Spring Mattress,Do you have any discount running on the Spring Mattress?,Neutral
2026-02-16,Website Review,Comforter Set,"Don't buy the Comforter Set, it captures too much heat.",Negative
2026-02-16,Website Review,Spring Mattress,Honestly the best investment for my back. The Spring Mattress is amazing.,Positive
2026-02-16,Instagram,Spring Mattress,I was skeptical but the Spring Mattress is very comfortable.,Positive
2026-02-16,Website Review,Memory Foam Pillow,Delivery of my Memory Foam Pillow was delayed by 2 weeks. Unacceptable.,Negative
2026-02-16,Facebook,Orthopedic Mattress,Five stars for the Orthopedic Mattress!,Positive
2026-02-16,Facebook,Supreme Foam,"Don't buy the Supreme Foam, it captures too much heat.",Negative
2026-02-16,Facebook,Comforter Set,"Don't buy the Comforter Set, it captures too much heat.",Negative
2026-02-16,Instagram,Spring Mattress,Customer service didn't reply when I asked about my Spring Mattress warranty.,Negative
2026-02-16,Instagram,Comforter Set,Finally getting good sleep thanks to Swan's Comforter Set.,Positive
2026-02-16,Facebook,Supreme Foam,"The Supreme Foam is too hard, caused me back pain.",Negative
2026-02-16,Instagram,Spring Mattress,Honestly the best investment for my back. The Spring Mattress is amazing.,Positive
2026-02-16,Website Review,Supreme Foam,The Supreme Foam smells of chemicals even after a week.,Negative
2026-02-16,Facebook,Orthopedic Mattress,"The Orthopedic Mattress is too hard, caused me back pain.",Negative
2026-02-16,Website Review,Supreme Foam,I am facing specific foam density issues with the Supreme Foam. It sinks too much.,Negative
2026-02-16,Instagram,Orthopedic Mattress,Called support 3 times about my Orthopedic Mattress but got no response.,Negative
2026-02-15,Website Review,Sofa Cushion,"Not happy with the foam density of the Sofa Cushion, feels cheap.",Negative
2026-02-15,Instagram,Comforter Set,"The Comforter Set is too hard, caused me back pain.",Negative
2026-02-15,Facebook,Sofa Cushion,I was skeptical but the Sofa Cushion is very comfortable.,Positive
2026-02-15,Instagram,Spring Mattress,Five stars for the Spring Mattress!,Positive
2026-02-15,Website Review,Supreme Foam,"Comparing this Supreme Foam with the other model, which is better?",Neutral
2026-02-15,Instagram,Orthopedic Mattress,Five stars for the Orthopedic Mattress!,Positive
2026-02-15,Website Review,Sofa Cushion,Five stars for the Sofa Cushion!,Positive
2026-02-15,Instagram,Memory Foam Pillow,Customer service didn't reply when I asked about my Memory Foam Pillow warranty.,Negative
2026-02-15,Website Review,Spring Mattress,"Not happy with the foam density of the Spring Mattress, feels cheap.",Negative
2026-02-15,Instagram,Spring Mattress,"The Spring Mattress is too hard, caused me back pain.",Negative
2026-02-15,Website Review,Comforter Set,"Not happy with the foam density of the Comforter Set, feels cheap.",Negative
2026-02-15,Instagram,Orthopedic Mattress,"Regret buying the Orthopedic Mattress, the stitching is coming off.",Negative
2026-02-15,Facebook,Spring Mattress,Is the Spring Mattress available in grey color?,Neutral
2026-02-15,Website Review,Sofa Cushion,"The Sofa Cushion is too hard, caused me back pain.",Negative
2026-02-15,Instagram,Sofa Cushion,Five stars for the Sofa Cushion!,Positive
2026-02-14,Website Review,Supreme Foam,Do you have a showroom in Dhanmondi to test the Supreme Foam?,Neutral
2026-02-14,Facebook,Supreme Foam,Called support 3 times about my Supreme Foam but got no response.,Negative
2026-02-14,Website Review,Spring Mattress,I was skeptical but the Spring Mattress is very comfortable.,Positive
2026-02-14,Facebook,Supreme Foam,"Not happy with the foam density of the Supreme Foam, feels cheap.",Negative
2026-02-14,Instagram,Orthopedic Mattress,"Don't buy the Orthopedic Mattress, it captures too much heat.",Negative
2026-02-14,Facebook,Memory Foam Pillow,The Memory Foam Pillow smells of chemicals even after a week.,Negative
2026-02-14,Website Review,Comforter Set,"Not happy with the foam density of the Comforter Set, feels cheap.",Negative
2026-02-14,Website Review,Memory Foam Pillow,Great service and the Memory Foam Pillow feels premium.,Positive
2026-02-14,Instagram,Comforter Set,Finally getting good sleep thanks to Swan's Comforter Set.,Positive
2026-02-14,Facebook,Spring Mattress,I am facing specific foam density issues with the Spring Mattress. It sinks too much.,Negative
2026-02-13,Instagram,Orthopedic Mattress,The Orthopedic Mattress smells of chemicals even after a week.,Negative
2026-02-13,Instagram,Memory Foam Pillow,I am facing specific foam density issues with the Memory Foam Pillow. It sinks too much.,Negative
2026-02-13,Instagram,Orthopedic Mattress,"Not happy with the foam density of the Orthopedic Mattress, feels cheap.",Negative
2026-02-13,Website Review,Supreme Foam,Is the Supreme Foam available in grey color?,Neutral
2026-02-13,Instagram,Comforter Set,Called support 3 times about my Comforter Set but got no response.,Negative
2026-02-13,Instagram,Orthopedic Mattress,My parents love the Orthopedic Mattress I bought them.,Positive
2026-02-13,Website Review,Orthopedic Mattress,Finally getting good sleep thanks to Swan's Orthopedic Mattress.,Positive
2026-02-13,Instagram,Spring Mattress,"Not happy with the foam density of the Spring Mattress, feels cheap.",Negative
2026-02-13,Facebook,Orthopedic Mattress,What is the warranty period for the Orthopedic Mattress?,Neutral
2026-02-13,Website Review,Spring Mattress,Finally getting good sleep thanks to Swan's Spring Mattress.,Positive
2026-02-13,Website Review,Supreme Foam,Called support 3 times about my Supreme Foam but got no response.,Negative
2026-02-13,Website Review,Orthopedic Mattress,Finally getting good sleep thanks to Swan's Orthopedic Mattress.,Positive
2026-02-13,Website Review,Supreme Foam,"Don't buy the Supreme Foam, it captures too much heat.",Negative
2026-02-13,Facebook,Supreme Foam,Does the Supreme Foam come with a cover?,Neutral
2026-02-13,Facebook,Comforter Set,My parents love the Comforter Set I bought them.,Positive
2026-02-13,Facebook,Orthopedic Mattress,Honestly the best investment for my back. The Orthopedic Mattress is amazing.,Positive
2026-02-12,Instagram,Comforter Set,"Highly recommend the Comforter Set, worth every taka.",Positive
2026-02-12,Website Review,Spring Mattress,Is the Spring Mattress available in grey color?,Neutral
2026-02-12,Instagram,Comforter Set,Delivery of my Comforter Set was delayed by 2 weeks. Unacceptable.,Negative
2026-02-12,Website Review,Spring Mattress,Five stars for the Spring Mattress!,Positive
2026-02-12,Facebook,Orthopedic Mattress,Delivery of my Orthopedic Mattress was delayed by 2 weeks. Unacceptable.,Negative
2026-02-12,Website Review,Spring Mattress,Finally getting good sleep thanks to Swan's Spring Mattress.,Positive
2026-02-12,Instagram,Orthopedic Mattress,My parents love the Orthopedic Mattress I bought them.,Positive
2026-02-11,Facebook,Sofa Cushion,Is the Sofa Cushion available in King Size?,Neutral
2026-02-11,Instagram,Sofa Cushion,Can I pay via EMI for the Sofa Cushion?,Neutral
2026-02-11,Website Review,Sofa Cushion,Finally getting good sleep thanks to Swan's Sofa Cushion.,Positive
2026-02-11,Facebook,Orthopedic Mattress,The Orthopedic Mattress smells of chemicals even after a week.,Negative
2026-02-11,Instagram,Orthopedic Mattress,"Not happy with the foam density of the Orthopedic Mattress, feels cheap.",Negative
2026-02-11,Instagram,Orthopedic Mattress,"Highly recommend the Orthopedic Mattress, worth every taka.",Positive
2026-02-11,Instagram,Comforter Set,Five stars for the Comforter Set!,Positive
2026-02-11,Facebook,Orthopedic Mattress,Five stars for the Orthopedic Mattress!,Positive
2026-02-11,Website Review,Spring Mattress,Called support 3 times about my Spring Mattress but got no response.,Negative
2026-02-11,Facebook,Spring Mattress,Soft yet firm. The Spring Mattress is perfect.,Positive
2026-02-11,Facebook,Comforter Set,"Don't buy the Comforter Set, it captures too much heat.",Negative
2026-02-11,Instagram,Comforter Set,"Don't buy the Comforter Set, it captures too much heat.",Negative
2026-02-11,Instagram,Spring Mattress,What is the warranty period for the Spring Mattress?,Neutral
2026-02-11,Facebook,Comforter Set,My parents love the Comforter Set I bought them.,Positive
2026-02-11,Website Review,Supreme Foam,Do you have any discount running on the Supreme Foam?,Neutral
2026-02-11,Facebook,Sofa Cushion,Honestly the best investment for my back. The Sofa Cushion is amazing.,Positive
2026-02-10,Website Review,Memory Foam Pillow,I am facing specific foam density issues with the Memory Foam Pillow. It sinks too much.,Negative
2026-02-10,Facebook,Sofa Cushion,Do you have any discount running on the Sofa Cushion?,Neutral
2026-02-10,Website Review,Orthopedic Mattress,Great service and the Orthopedic Mattress feels premium.,Positive
2026-02-10,Facebook,Comforter Set,Great service and the Comforter Set feels premium.,Positive
2026-02-10,Facebook,Memory Foam Pillow,Delivery of my Memory Foam Pillow was delayed by 2 weeks. Unacceptable.,Negative
2026-02-10,Instagram,Spring Mattress,Great service and the Spring Mattress feels premium.,Positive
2026-02-10,Facebook,Spring Mattress,"Not happy with the foam density of the Spring Mattress, feels cheap.",Negative
2026-02-10,Instagram,Memory Foam Pillow,Delivery was super fast and the Memory Foam Pillow quality is top notch.,Positive
2026-02-10,Instagram,Supreme Foam,Great service and the Supreme Foam feels premium.,Positive
2026-02-10,Facebook,Sofa Cushion,"Not happy with the foam density of the Sofa Cushion, feels cheap.",Negative
2026-02-10,Instagram,Comforter Set,Great service and the Comforter Set feels premium.,Positive
2026-02-10,Instagram,Sofa Cushion,Delivery of my Sofa Cushion was delayed by 2 weeks. Unacceptable.,Negative
2026-02-10,Instagram,Comforter Set,"Not happy with the foam density of the Comforter Set, feels cheap.",Negative
2026-02-10,Instagram,Supreme Foam,Great service and the Supreme Foam feels premium.,Positive
2026-02-10,Facebook,Memory Foam Pillow,Customer service didn't reply when I asked about my Memory Foam Pillow warranty.,Negative
2026-02-10,Website Review,Memory Foam Pillow,"Not happy with the foam density of the Memory Foam Pillow, feels cheap.",Negative
2026-02-10,Facebook,Orthopedic Mattress,"Highly recommend the Orthopedic Mattress, worth every taka.",Positive
2026-02-10,Instagram,Supreme Foam,Just received my Supreme Foam and it looks exactly like the pictures.,Positive
2026-02-10,Facebook,Memory Foam Pillow,Honestly the best investment for my back. The Memory Foam Pillow is amazing.,Positive
2026-02-10,Website Review,Memory Foam Pillow,Soft yet firm. The Memory Foam Pillow is perfect.,Positive
2026-02-10,Facebook,Orthopedic Mattress,"Regret buying the Orthopedic Mattress, the stitching is coming off.",Negative
2026-02-09,Website Review,Spring Mattress,Just received my Spring Mattress and it looks exactly like the pictures.,Positive
2026-02-09,Facebook,Spring Mattress,Finally getting good sleep thanks to Swan's Spring Mattress.,Positive
2026-02-09,Website Review,Orthopedic Mattress,Honestly the best investment for my back. The Orthopedic Mattress is amazing.,Positive
2026-02-09,Instagram,Memory Foam Pillow,Finally getting good sleep thanks to Swan's Memory Foam Pillow.,Positive
2026-02-09,Website Review,Comforter Set,"Comparing this Comforter Set with the other model, which is better?",Neutral
2026-02-09,Facebook,Orthopedic Mattress,Honestly the best investment for my back. The Orthopedic Mattress is amazing.,Positive
2026-02-09,Instagram,Orthopedic Mattress,Do you have any discount running on the Orthopedic Mattress?,Neutral
2026-02-09,Website Review,Sofa Cushion,Delivery of my Sofa Cushion was delayed by 2 weeks. Unacceptable.,Negative
2026-02-09,Instagram,Spring Mattress,How long does delivery take for the Spring Mattress to Chittagong?,Neutral
2026-02-09,Website Review,Sofa Cushion,"The Sofa Cushion is too hard, caused me back pain.",Negative
2026-02-09,Instagram,Sofa Cushion,Do you have any discount running on the Sofa Cushion?,Neutral
2026-02-08,Facebook,Spring Mattress,The Spring Mattress smells of chemicals even after a week.,Negative
2026-02-08,Facebook,Comforter Set,Just received my Comforter Set and it looks exactly like the pictures.,Positive
2026-02-08,Website Review,Memory Foam Pillow,Is the Memory Foam Pillow available in King Size?,Neutral
2026-02-08,Website Review,Orthopedic Mattress,I was skeptical but the Orthopedic Mattress is very comfortable.,Positive
2026-02-08,Instagram,Comforter Set,Called support 3 times about my Comforter Set but got no response.,Negative
2026-02-08,Instagram,Sofa Cushion,Five stars for the Sofa Cushion!,Positive
2026-02-08,Instagram,Spring Mattress,Does the Spring Mattress come with a cover?,Neutral
2026-02-08,Instagram,Comforter Set,Finally getting good sleep thanks to Swan's Comforter Set.,Positive
2026-02-08,Website Review,Orthopedic Mattress,"Comparing this Orthopedic Mattress with the other model, which is better?",Neutral
2026-02-08,Website Review,Comforter Set,My parents love the Comforter Set I bought them.,Positive
2026-02-08,Instagram,Comforter Set,"Highly recommend the Comforter Set, worth every taka.",Positive
2026-02-08,Facebook,Orthopedic Mattress,My parents love the Orthopedic Mattress I bought them.,Positive
2026-02-08,Instagram,Comforter Set,I was skeptical but the Comforter Set is very comfortable.,Positive
2026-02-08,Website Review,Supreme Foam,"Regret buying the Supreme Foam, the stitching is coming off.",Negative
2026-02-07,Facebook,Sofa Cushion,I am facing specific foam density issues with the Sofa Cushion. It sinks too much.,Negative
2026-02-07,Facebook,Spring Mattress,"Comparing this Spring Mattress with the other model, which is better?",Neutral
2026-02-07,Website Review,Memory Foam Pillow,"Don't buy the Memory Foam Pillow, it captures too much heat.",Negative
2026-02-07,Instagram,Orthopedic Mattress,Honestly the best investment for my back. The Orthopedic Mattress is amazing.,Positive
2026-02-07,Website Review,Spring Mattress,How long does delivery take for the Spring Mattress to Chittagong?,Neutral
2026-02-07,Instagram,Orthopedic Mattress,I am facing specific foam density issues with the Orthopedic Mattress. It sinks too much.,Negative
2026-02-07,Instagram,Orthopedic Mattress,I was skeptical but the Orthopedic Mattress is very comfortable.,Positive
2026-02-07,Facebook,Comforter Set,Delivery of my Comforter Set was delayed by 2 weeks. Unacceptable.,Negative
2026-02-07,Instagram,Memory Foam Pillow,Customer service didn't reply when I asked about my Memory Foam Pillow warranty.,Negative
2026-02-07,Website Review,Sofa Cushion,My Sofa Cushion arrived damaged and return process is a nightmare.,Negative
2026-02-06,Website Review,Spring Mattress,I was skeptical but the Spring Mattress is very comfortable.,Positive
2026-02-06,Instagram,Supreme Foam,Delivery of my Supreme Foam was delayed by 2 weeks. Unacceptable.,Negative
2026-02-06,Website Review,Orthopedic Mattress,Customer service didn't reply when I asked about my Orthopedic Mattress warranty.,Negative
2026-02-06,Facebook,Memory Foam Pillow,Delivery was super fast and the Memory Foam Pillow quality is top notch.,Positive
2026-02-06,Instagram,Supreme Foam,The Supreme Foam smells of chemicals even after a week.,Negative
2026-02-06,Website Review,Spring Mattress,My Spring Mattress arrived damaged and return process is a nightmare.,Negative
2026-02-06,Website Review,Spring Mattress,Customer service didn't reply when I asked about my Spring Mattress warranty.,Negative
2026-02-06,Website Review,Supreme Foam,Delivery of my Supreme Foam was delayed by 2 weeks. Unacceptable.,Negative
2026-02-06,Website Review,Sofa Cushion,Is the Sofa Cushion available in King Size?,Neutral
2026-02-05,Facebook,Spring Mattress,I am facing specific foam density issues with the Spring Mattress. It sinks too much.,Negative
2026-02-05,Facebook,Orthopedic Mattress,Just received my Orthopedic Mattress and it looks exactly like the pictures.,Positive
2026-02-05,Instagram,Comforter Set,How long does delivery take for the Comforter Set to Chittagong?,Neutral
2026-02-05,Website Review,Comforter Set,Delivery was super fast and the Comforter Set quality is top notch.,Positive
2026-02-05,Instagram,Spring Mattress,"The Spring Mattress is too hard, caused me back pain.",Negative
2026-02-05,Instagram,Supreme Foam,I am facing specific foam density issues with the Supreme Foam. It sinks too much.,Negative
2026-02-05,Facebook,Memory Foam Pillow,Five stars for the Memory Foam Pillow!,Positive
2026-02-05,Website Review,Spring Mattress,Do you have a showroom in Dhanmondi to test the Spring Mattress?,Neutral
2026-02-05,Facebook,Memory Foam Pillow,"Regret buying the Memory Foam Pillow, the stitching is coming off.",Negative
2026-02-05,Instagram,Comforter Set,My parents love the Comforter Set I bought them.,Positive
2026-02-05,Website Review,Comforter Set,Delivery of my Comforter Set was delayed by 2 weeks. Unacceptable.,Negative
2026-02-05,Facebook,Spring Mattress,Delivery was super fast and the Spring Mattress quality is top notch.,Positive
2026-02-04,Instagram,Supreme Foam,I am facing specific foam density issues with the Supreme Foam. It sinks too much.,Negative
2026-02-04,Instagram,Supreme Foam,I was skeptical but the Supreme Foam is very comfortable.,Positive
2026-02-04,Facebook,Orthopedic Mattress,Customer service didn't reply when I asked about my Orthopedic Mattress warranty.,Negative
2026-02-04,Instagram,Spring Mattress,Do you have a showroom in Dhanmondi to test the Spring Mattress?,Neutral
2026-02-04,Instagram,Sofa Cushion,"Comparing this Sofa Cushion with the other model, which is better?",Neutral
2026-02-04,Facebook,Spring Mattress,What is the warranty period for the Spring Mattress?,Neutral
2026-02-04,Facebook,Comforter Set,My parents love the Comforter Set I bought them.,Positive
2026-02-04,Instagram,Orthopedic Mattress,Five stars for the Orthopedic Mattress!,Positive
2026-02-04,Facebook,Memory Foam Pillow,Is the Memory Foam Pillow washable?,Neutral
2026-02-04,Facebook,Spring Mattress,The Spring Mattress smells of chemicals even after a week.,Negative
2026-02-04,Website Review,Spring Mattress,Delivery was super fast and the Spring Mattress quality is top notch.,Positive
2026-02-03,Website Review,Sofa Cushion,Soft yet firm. The Sofa Cushion is perfect.,Positive
